marque,annee,ram,disque,prix_cfa
HP,N/C,26 Go,2 Go,140000
HP,N/C,4 Go,1000 Go,210000
HP,N/C,512 Go,16 Go,240000
Autre,N/C,N/C,N/C,130000
Dell,N/C,512 Go,16 Go,160000
HP,N/C,512 Go,2 Go,140000
HP,N/C,4 Go,512 Go,210000
HP,N/C,3 Go,2 Go,120000
Dell,N/C,N/C,N/C,130000
Autre,N/C,N/C,N/C,140000
Autre,N/C,512 Go,16 Go,290000
Autre,N/C,N/C,N/C,140000
Autre,N/C,N/C,N/C,140000
Autre,2025,N/C,N/C,1500000
Autre,N/C,N/C,N/C,160000
HP,N/C,5 Go,16 Go,170000
Autre,N/C,N/C,N/C,250000
Autre,N/C,N/C,N/C,130000
Autre,N/C,N/C,N/C,115000
Autre,N/C,16 Go,N/C,230000
Autre,N/C,N/C,N/C,175000
Dell,N/C,N/C,N/C,320000
Dell,N/C,512 Go,N/C,299000
HP,N/C,512 Go,16 Go,240000
HP,N/C,512 Go,2 Go,145000
Dell,N/C,3 Go,8 Go,90000
HP,N/C,745 Go,N/C,150000
HP,N/C,16 Go,N/C,190000
Autre,N/C,N/C,N/C,175000
Apple,N/C,N/C,N/C,1150000
Autre,N/C,N/C,N/C,950000
Dell,N/C,512 Go,16 Go,165000
Autre,N/C,N/C,N/C,650000
Autre,N/C,N/C,N/C,135000
Autre,N/C,N/C,N/C,130000
Autre,N/C,2 Go,16 Go,140000
Apple,N/C,N/C,N/C,1300000
Apple,N/C,256 Go,N/C,450000
Autre,N/C,3 Go,6 Go,300000
HP,N/C,250 Go,512 Go,295000
HP,N/C,N/C,N/C,0
Autre,N/C,N/C,N/C,65000
Autre,N/C,N/C,N/C,200000
Autre,N/C,N/C,N/C,130000
Autre,N/C,256 Go,12 Go,145000
Autre,N/C,N/C,N/C,120000
Dell,N/C,N/C,N/C,100000
HP,N/C,256 Go,N/C,100000
Autre,N/C,256 Go,N/C,100000
Dell,N/C,8 Go,256 Go,90000
Autre,2015,N/C,N/C,115000
Autre,2015,N/C,N/C,90000
HP,N/C,650 Go,N/C,180000
Apple,N/C,N/C,N/C,95000
Autre,N/C,N/C,N/C,100000
Apple,N/C,N/C,N/C,100000
Autre,N/C,000 Go,N/C,90000
Autre,N/C,N/C,N/C,100000
Dell,N/C,8 Go,500 Go,90000
Autre,N/C,N/C,N/C,100000
HP,N/C,2 Go,N/C,295000
Apple,N/C,N/C,N/C,310000
HP,N/C,N/C,N/C,145000
Autre,N/C,N/C,N/C,850000
Autre,2025,N/C,N/C,950000
Autre,N/C,32 Go,4 Go,275000
Apple,2019,64 Go,N/C,425000
Autre,2024,N/C,N/C,20000
Autre,N/C,N/C,N/C,60000
HP,N/C,N/C,N/C,40000
Autre,N/C,N/C,N/C,140000
Autre,N/C,N/C,N/C,140000
Autre,N/C,N/C,N/C,650000
Autre,N/C,1000 Go,16 Go,0
Autre,N/C,N/C,N/C,60000
HP,N/C,840 Go,N/C,100000
Autre,N/C,N/C,N/C,140000
Autre,N/C,N/C,N/C,90000
Autre,2025,N/C,N/C,1500000
Autre,N/C,N/C,N/C,999000
Autre,N/C,N/C,N/C,290000
Dell,N/C,N/C,N/C,350000
Dell,N/C,N/C,N/C,45000
HP,N/C,4 Go,N/C,230000
HP,N/C,N/C,N/C,90000
Autre,N/C,N/C,N/C,140000
Apple,N/C,N/C,N/C,1450000
Autre,N/C,16 Go,N/C,1650000
Autre,N/C,N/C,N/C,1500000
Autre,N/C,N/C,N/C,900000
Autre,N/C,14 Go,256 Go,120000
Dell,N/C,N/C,N/C,185000
Autre,N/C,N/C,N/C,475000
Dell,N/C,N/C,N/C,145000
Dell,N/C,N/C,N/C,199900
Apple,N/C,N/C,N/C,1300000
Autre,N/C,16 Go,N/C,270000
Apple,2022,512 Go,N/C,450000
Apple,2025,N/C,N/C,650000
Dell,N/C,N/C,N/C,220000
Autre,N/C,N/C,N/C,1600000
Apple,2019,N/C,N/C,300000
Apple,2019,N/C,N/C,325000
Autre,N/C,N/C,N/C,150000
Dell,N/C,N/C,N/C,100000
Dell,N/C,N/C,N/C,85000
Apple,N/C,256 Go,16 Go,330000
Apple,2019,N/C,N/C,350000
Apple,2019,N/C,N/C,325000
HP,N/C,840 Go,N/C,120000
Apple,2021,N/C,N/C,500000
Dell,N/C,32 Go,500 Go,200000
Dell,N/C,16 Go,N/C,270000
HP,N/C,N/C,N/C,800000
Autre,N/C,32 Go,N/C,550000
Autre,N/C,521 Go,N/C,850000
Autre,N/C,8 Go,256 Go,350000
HP,N/C,8 Go,256 Go,350000
Autre,N/C,32 Go,256 Go,180000
Autre,2015,16 Go,000 Go,160000
Autre,2015,16 Go,500 Go,170000
Dell,N/C,N/C,N/C,40000
Autre,N/C,N/C,N/C,285000
Autre,N/C,N/C,N/C,275000
Autre,N/C,8 Go,N/C,550000
HP,N/C,N/C,N/C,50000
HP,N/C,5 Go,3 Go,0
HP,N/C,N/C,N/C,350000
HP,N/C,830 Go,N/C,120000
HP,N/C,845 Go,16 Go,170000
Dell,N/C,16 Go,N/C,160000
Dell,N/C,3500 Go,N/C,150000
Dell,N/C,N/C,N/C,165000
Dell,N/C,N/C,N/C,165000
Dell,N/C,N/C,N/C,170000
Dell,N/C,N/C,N/C,170000
Dell,N/C,N/C,N/C,160000
HP,N/C,1040 Go,N/C,225000
Autre,N/C,N/C,N/C,50000
HP,N/C,840 Go,N/C,150000
HP,N/C,N/C,N/C,150000
Autre,N/C,N/C,N/C,675000
Dell,N/C,N/C,N/C,150000
Apple,N/C,N/C,N/C,160000
Apple,N/C,N/C,N/C,130000
Autre,N/C,N/C,N/C,65000
Autre,2050,8 Go,4 Go,325000
Apple,N/C,N/C,N/C,300000
Autre,N/C,N/C,N/C,500000
Dell,N/C,N/C,N/C,125000
Autre,N/C,N/C,N/C,325000
Autre,N/C,N/C,N/C,600000
Autre,N/C,N/C,N/C,500000
HP,N/C,11 Go,N/C,80000
Autre,N/C,N/C,N/C,300000
Apple,2020,N/C,N/C,225000
Apple,2017,N/C,N/C,225000
HP,N/C,430 Go,N/C,120000
Apple,2015,N/C,N/C,125000
HP,N/C,290 Go,16 Go,450000
HP,N/C,290 Go,N/C,550000
Autre,N/C,N/C,N/C,350000
